Player,Games Played,Games Started,Total Minutes Played,Average Minutes Per Game,Field Goals Made,Field Goals Attempted,Field Goals Percentage,3pts Made,3pts Attempted,3pts Percentage,Free Throws Made,Free Throws Attempted,Free Throws Percentage,Total Points,Average Points Per Game,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Average Rebounds Per Game,Personal Fouls,Assists,Turnovers,Steals,Blocks,Team,Tournament Wins
"Disu, Dylan",36,36,686,19.1,133,217,0.613,10,32,0.313,42,54,0.778,318,8.8,44,114,158,4.4,103,37,41,23,46,Texas,3
"Bishop, Christian",38,2,674,17.7,99,187,0.529,0,12,0,51,79,0.646,249,6.6,47,95,142,3.7,84,35,41,30,22,Texas,3
"Mitchell, Dillon",38,38,663,17.4,75,118,0.636,0,0,0,15,37,0.405,165,4.3,52,96,148,3.9,43,14,21,23,12,Texas,3
"Cunningham, Brock",38,0,696,18.3,60,126,0.476,26,63,0.413,27,31,0.871,173,4.6,66,65,131,3.4,84,53,24,33,7,Texas,3
"Morris, Arterio",38,0,445,11.7,62,151,0.411,29,87,0.333,22,28,0.786,175,4.6,14,40,54,1.4,48,20,23,25,9,Texas,3
"Anamekwe, Alex",12,0,59,4.9,8,14,0.571,2,4,0.5,0,0,0,18,1.5,3,5,8,0.7,5,1,4,2,0,Texas,3
"Bott, Cole",9,0,23,2.6,2,4,0.5,2,4,0.5,0,0,0,6,0.7,2,3,5,0.6,1,0,0,1,1,Texas,3
"Perryman, Gavin",11,0,38,3.5,1,9,0.111,1,9,0.111,0,0,0,3,0.3,1,4,5,0.5,2,2,2,3,0,Texas,3
"Records, Keegan",35,35,820,23.4,195,289,0.675,3,9,0.333,62,98,0.633,455,13,80,130,210,6,73,46,36,20,45,Colgate,0
"Richardson, Tucker",35,35,1200,34.3,188,418,0.45,53,167,0.317,52,102,0.51,481,13.7,15,167,182,5.2,71,198,86,73,10,Colgate,0
"Lynch-Daniels, Oliver",32,31,1013,31.7,144,279,0.516,78,157,0.497,21,24,0.875,387,12.1,12,97,109,3.4,63,69,44,29,3,Colgate,0
"Smith, Braeden",35,35,1105,31.6,138,287,0.481,35,97,0.361,95,115,0.826,406,11.6,11,124,135,3.9,49,155,70,45,2,Colgate,0
"Moffatt, Ryan",33,33,1009,30.6,127,243,0.523,63,139,0.453,33,44,0.75,350,10.6,28,109,137,4.2,42,59,23,51,3,Colgate,0
"Woodward, Jeff",35,5,620,17.7,93,158,0.589,0,0,0,57,102,0.559,243,6.9,57,101,158,4.5,62,77,44,10,28,Colgate,0
"Baker, Chandler",35,0,433,12.4,66,156,0.423,33,78,0.423,13,16,0.813,178,5.1,4,36,40,1.1,18,10,18,9,2,Colgate,0
"Thomson, Sam",31,1,484,15.6,54,110,0.491,1,5,0.2,24,38,0.632,133,4.3,21,62,83,2.7,32,11,12,7,5,Colgate,0
"Bailey, Malcolm",1,0,10,10,2,3,0.667,0,0,0,0,0,0,4,4,6,3,9,9,1,3,0,1,1,Colgate,0
"Capitano, Alex",12,0,36,3,8,18,0.444,2,9,0.222,1,2,0.5,19,1.6,2,2,4,0.3,0,2,0,0,0,Colgate,0
"Cummins, Brady",15,0,72,4.8,5,21,0.238,2,10,0.2,3,4,0.75,15,1,2,3,5,0.3,9,1,2,2,0,Colgate,0
"Louis-Jacques, Nicolas",32,0,198,6.2,22,56,0.393,16,38,0.421,2,4,0.5,62,1.9,1,9,10,0.3,18,6,8,1,1,Colgate,0
"Wilson, Jalen",36,36,1276,35.4,247,575,0.43,70,208,0.337,159,199,0.799,723,20.1,56,241,297,8.3,76,79,84,34,17,Kansas,1
"Dick, Gradey",36,36,1176,32.7,174,394,0.442,83,206,0.403,76,89,0.854,507,14.1,40,145,185,5.1,76,60,45,52,9,Kansas,1
"Adams Jr., KJ",36,36,982,27.3,156,251,0.622,0,3,0,68,112,0.607,380,10.6,74,82,156,4.3,106,70,55,27,29,Kansas,1
"McCullar Jr., Kevin",34,33,1042,30.6,123,277,0.444,29,98,0.296,89,117,0.761,364,10.7,41,197,238,7,101,80,72,68,25,Kansas,1
"Harris Jr., Dajuan",36,36,1232,34.2,131,278,0.471,30,74,0.405,28,47,0.596,320,8.9,25,65,90,2.5,58,224,73,78,15,Kansas,1
"Yesufu, Joseph",35,3,441,12.6,54,147,0.367,24,84,0.286,10,15,0.667,142,4.1,2,39,41,1.2,36,15,18,16,0,Kansas,1
"Pettiford, Bobby",32,0,388,12.1,31,58,0.534,3,10,0.3,6,8,0.75,71,2.2,10,28,38,1.2,26,43,36,9,1,Kansas,1
"Rice, MJ",23,0,171,7.4,20,49,0.408,3,15,0.2,8,12,0.667,51,2.2,11,13,24,1,28,4,12,7,2,Kansas,1
"Udeh Jr., Ernest",30,0,251,8.4,34,45,0.756,0,0,0,9,22,0.409,77,2.6,23,30,53,1.8,48,9,16,20,18,Kansas,1
"Clemence, Zach",20,0,115,5.8,11,34,0.324,4,18,0.222,2,6,0.333,28,1.4,8,17,25,1.3,18,2,7,2,7,Kansas,1
"Ejiofor, Zuby",25,0,129,5.2,13,20,0.65,0,0,0,5,10,0.5,31,1.2,15,28,43,1.7,18,4,12,3,15,Kansas,1
"Jankovich, Michael",13,0,24,1.8,5,8,0.625,4,7,0.571,0,0,0,14,1.1,0,0,0,0,1,0,0,1,1,Kansas,1
"Martin, Cam",4,0,10,2.5,3,4,0.75,1,1,1,0,0,0,7,1.8,2,0,2,0.5,2,0,0,0,0,Kansas,1
"Cuffe, jr., Kyle",2,0,6,3,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0.5,0,0,0,0,0,Kansas,1
"Wilhite, Dillon",5,0,7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,3,0,1,0,0,Kansas,1
"Hawkins, Elijah",31,29,921,29.7,123,279,0.441,54,116,0.466,101,133,0.759,401,12.9,16,97,113,3.6,73,185,125,53,0,Howard,0
"Settle, III, Steve",32,32,941,29.4,116,275,0.422,33,109,0.303,89,110,0.809,354,11.1,33,148,181,5.7,57,35,66,37,30,Howard,0
"Odom, Shy",31,23,681,22,126,232,0.543,3,13,0.231,84,128,0.656,339,10.9,63,79,142,4.6,85,44,53,26,16,Howard,0
"Dockery, Marcus",31,19,693,22.4,101,221,0.457,68,155,0.439,29,37,0.784,299,9.6,14,60,74,2.4,17,32,31,22,2,Howard,0
"Williams, Jelani",35,16,880,25.1,114,265,0.43,26,78,0.333,64,89,0.719,318,9.1,48,106,154,4.4,87,74,68,43,2,Howard,0
"Wood, Jordan",35,33,731,20.9,111,298,0.372,64,173,0.37,15,22,0.682,301,8.6,26,105,131,3.7,57,26,43,19,19,Howard,0
"Harris, Bryce",34,16,541,15.9,96,168,0.571,14,40,0.35,31,45,0.689,237,7,62,57,119,3.5,46,20,35,15,20,Howard,0
"Dickson, Kobe",31,6,453,14.6,60,100,0.6,0,5,0,31,48,0.646,151,4.9,37,30,67,2.2,64,39,52,3,7,Howard,0
"Brown, Reece",9,0,71,7.9,8,11,0.727,0,0,0,7,15,0.467,23,2.6,4,7,11,1.2,10,6,7,2,1,Howard,0
"Stewart, Miles",22,0,167,7.6,19,37,0.514,2,13,0.154,4,8,0.5,44,2,11,34,45,2,22,3,8,5,7,Howard,0
"Okojie, Ose",28,1,263,9.4,18,36,0.5,0,1,0,8,12,0.667,44,1.6,17,16,33,1.2,37,13,17,12,1,Howard,0
"Lewis, Talin",13,0,61,4.7,9,22,0.409,1,4,0.25,3,5,0.6,22,1.7,2,4,6,0.5,7,3,7,1,0,Howard,0
"Robinson, Khalil",27,0,311,11.5,16,41,0.39,8,19,0.421,7,10,0.7,47,1.7,7,20,27,1,14,28,14,7,0,Howard,0
"Taiwo, Ayodele",10,0,42,4.2,4,10,0.4,0,0,0,4,4,1,12,1.2,5,7,12,1.2,5,1,7,0,4,Howard,0
"Weaver, Thomas",26,0,178,6.8,11,32,0.344,7,18,0.389,2,6,0.333,31,1.2,0,10,10,0.4,20,9,15,5,0,Howard,0
"Rhames, Freedom",18,0,91,5.1,2,11,0.182,2,10,0.2,5,7,0.714,11,0.6,5,5,10,0.6,13,5,7,2,0,Howard,0
Ricky Council,36,29,1229,34.1,187,432,0.433,34,126,0.27,173,218,0.794,581,16.1,33,97,130,3.6,65,81,75,40,11,Arkansas,2
Anthony Black,36,36,1255,34.9,149,329,0.453,28,93,0.301,134,190,0.705,460,12.8,45,137,182,5.1,93,141,109,74,22,Arkansas,2
Davonte Davis,35,31,1159,33.1,144,347,0.415,47,136,0.346,46,64,0.719,381,10.9,24,129,153,4.4,91,87,72,48,4,Arkansas,2
Jordan Walsh,36,22,878,24.4,94,217,0.433,20,72,0.278,47,66,0.712,255,7.1,43,98,141,3.9,105,33,37,40,17,Arkansas,2
Makhi Mitchell,36,31,723,20.1,104,157,0.662,1,1,1,43,66,0.652,252,7.0,58,134,192,5.3,97,39,33,31,49,Arkansas,2
Nick Smith,17,14,438,25.8,76,202,0.376,24,71,0.338,37,50,0.74,213,12.5,4,24,28,1.6,26,29,27,14,2,Arkansas,2
Jalen Graham,31,0,291,9.4,74,113,0.655,0,3,0,13,35,0.371,161,5.2,23,47,70,2.3,38,14,35,12,14,Arkansas,2
Makhel Mitchell,30,9,385,12.8,47,74,0.635,0,0,0,15,33,0.455,109,3.6,26,70,96,3.2,60,10,17,11,45,Arkansas,2
Trevon Brazile,9,0,243,27.0,37,77,0.481,11,29,0.379,21,31,0.677,106,11.8,9,45,54,6.0,23,9,20,9,11,Arkansas,2
